Date,Open,High,Low,Close,Adj Close,Volume
18-12-18,25903.98047,26152.88086,25713.5,25814.25,25814.25,1449449300
17-12-18,26178.03906,26186.30078,26002.30078,26087.98047,26087.98047,1036879300
14-12-18,26219,26219,26061.4707,26094.78906,26094.78906,1344364100
13-12-18,26417.89063,26581.92969,26314.76953,26524.34961,26524.34961,1747235100
12-12-18,26054.00977,26238.73047,26013.35938,26186.71094,26186.71094,1429660600
11-12-18,25623.40039,25861.73047,25623.40039,25771.66992,25771.66992,1190934600
10-12-18,25794.94922,25845.33984,25570.89063,25752.38086,25752.38086,1544284600
07-12-18,26249.81055,26280.66016,26055.7793,26063.75977,26063.75977,2726993500
06-12-18,26349.41992,26381.11914,26016.08984,26156.38086,26156.38086,2123180600
05-12-18,26745.68945,26914.86914,26745.68945,26819.67969,26819.67969,1330919400
04-12-18,27119.18945,27260.43945,26984.71094,27260.43945,27260.43945,1880483300
03-12-18,27185.66016,27259.42969,27006.83008,27182.03906,27182.03906,2549703200
30-11-18,26506.08984,26683.25,26396.61914,26506.75,26506.75,2000815900
29-11-18,26904.21094,26923.33008,26399.81055,26451.0293,26451.0293,1469593600
28-11-18,26406.67969,26705.30078,26332.66016,26682.56055,26682.56055,1415273800
27-11-18,26345.36914,26417.83984,26158.9707,26331.96094,26331.96094,1394358800
26-11-18,26099.34961,26413.75977,26031.90039,26376.17969,26376.17969,1611982200
23-11-18,25950.07031,25983.25,25807.25977,25927.67969,25927.67969,877061500
22-11-18,26139.39063,26139.39063,25873.38086,26019.41016,26019.41016,1010983600
21-11-18,25496.84961,25998.2793,25494.50977,25971.4707,25971.4707,1397423500
20-11-18,26043.50977,26132.28906,25776.2207,25840.33984,25840.33984,1205800000
19-11-18,26278.86914,26397.39063,26146.39063,26372,26372,1320040400
16-11-18,26041.56055,26197.31055,25850.03906,26183.5293,26183.5293,1330024100
15-11-18,25862.17969,26127.14063,25611.7207,26103.33984,26103.33984,1534457400
14-11-18,25874.35938,25874.35938,25489.85938,25654.42969,25654.42969,1431673200
13-11-18,25092.30078,25792.86914,25092.30078,25792.86914,25792.86914,1689989400
12-11-18,25576.2793,25765.96094,25505.33008,25633.17969,25633.17969,1171178800
09-11-18,25925.08984,25925.08984,25475.32031,25601.91992,25601.91992,1839798600
08-11-18,26491.26953,26491.26953,26141.25,26227.7207,26227.7207,1654626400
07-11-18,26125.08984,26530.86914,25920.7207,26147.68945,26147.68945,1731287400
06-11-18,26062.24023,26159.83008,25826.68945,26120.96094,26120.96094,1562913100
05-11-18,26050.33984,26146.81055,25747.51953,25934.39063,25934.39063,1626675400
02-11-18,25980.43945,26486.34961,25909.71094,26486.34961,26486.34961,3518978800
01-11-18,25228.75,25535.11914,25190.90039,25416,25416,2176972600
31-10-18,24752.83008,24979.68945,24700.10938,24979.68945,24979.68945,2363084500
30-10-18,24765.11914,24939.17969,24540.63086,24585.5293,24585.5293,2100387500
29-10-18,24955.78906,24955.78906,24594.74023,24812.03906,24812.03906,2000985900
26-10-18,25031.49023,25062.19922,24589.03906,24717.63086,24717.63086,1688395600
25-10-18,24766.7207,24994.46094,24653.78906,24994.46094,24994.46094,2288634200
24-10-18,25401.16992,25653.35938,25194.28906,25249.7793,25249.7793,1962753500
23-10-18,26015.49023,26015.49023,25315.75977,25346.55078,25346.55078,1772912000
22-10-18,25668.33008,26234.85938,25668.33008,26153.15039,26153.15039,2222812200
19-10-18,25172.0293,25743.44922,25090.30078,25561.40039,25561.40039,2037871700
18-10-18,25674.66016,25674.66016,25261.7207,25454.55078,25454.55078,1764725000
16-10-18,25586.16016,25712.13086,25266.53906,25462.25977,25462.25977,1467251700
15-10-18,25683.58984,25683.58984,25399.53906,25445.06055,25445.06055,1614888500
12-10-18,25401.41016,25835.75977,25286.85938,25801.49023,25801.49023,2099313400
11-10-18,25392.90039,25437.84961,25125.2207,25266.36914,25266.36914,3090446400
10-10-18,26281.2793,26499.83984,26193.07031,26193.07031,26193.07031,1719141400
09-10-18,26194.16992,26366.59961,26067.50977,26172.91016,26172.91016,1744919700
08-10-18,26717.59961,26717.59961,26187.83008,26202.57031,26202.57031,2296488600
05-10-18,26503.75,26639.64063,26373.46094,26572.57031,26572.57031,1684117300
04-10-18,27029.40039,27029.40039,26551.43945,26623.86914,26623.86914,1903259700
